название;цена;оценка;продавец;ссылка
3 шт., декоративные фигурки астронавтов и луна, Декор для дома;1 172,38 руб.;4.8;Astronaut decoration Store;https://aliexpress.ru/item/1005003402862869.html?sku_id=12000025629236153
Экшн-Фигурка динозавра, король монстров Гидора, ПВХ, 18 см, трехголовый дракон, динозавр, коллекционная кукла-монстр, игрушка в подарок;659,41 руб.;4.7;Shop910336018 Store;https://aliexpress.ru/item/1005002180532154.html?sku_id=12000018959683628
Игрушечная фигурка магистра Галактики, 6 см;61,09 руб.;4.7;не известно;https://aliexpress.ru/item/1005003488689747.html?sku_id=12000026021280693
Робот-трансформер для аниме-фильма, машинка, инженерная экшн-фигурка, модель, детская игрушка для мальчиков, подарок для детей;824,71 руб.;5;Innocence toy Store;https://aliexpress.ru/item/1005003917129754.html?sku_id=12000027461384877
Мини-фигурка Тоторо 2018 5 см, экшн-фигурка со штативом Мой сосед Тоторо, кукла, игрушка, подарок на день рождения, декор вечерние НКИ;125,77 руб.;4.7;Children Toy World Store;https://aliexpress.ru/item/32879844678.html?sku_id=65554143134
Пластиковые фигурки героев фильмов WM6027 X0312, Бэтмен, чудо-женщина, мини Экшн-фигурки, сборные блоки, игрушки для детей, подарки на день рождения;91,63 руб.;35;не известно;https://aliexpress.ru/item/1005003884592812.html?sku_id=12000027386184669
Фигурка аниме «рассекающий демонов», экшн-фигурки, игрушки, киметсу, кукла «No Yaiba», Tanjiro Nezuko, Рождественский брелок для Хэллоуина, детские игрушки;348,57 руб.;4.8;HGX-Dropshipping Store;https://aliexpress.ru/item/1005003399102545.html?sku_id=12000025615029810
Фигурка Джокера из ПВХ, 14 см;813,93 руб.;4.7;Youandzi Store;https://aliexpress.ru/item/32849901210.html?sku_id=65245313488
Фигурки из аниме «рассекающий демонов», экшн-фигурки из ПВХ, фигурка Zenitsu, Inosuke Kimetsu, No Yaiba;365,64 руб.;4.7;AAHeng& Zhi Store;https://aliexpress.ru/item/1005002850995484.html?sku_id=12000022461955250
Аниме Marvel Дэдпул экшн-Фигурки игрушки мини кукла для автомобиля товары Аксессуары для салона автомобиля декоративная модель рождественские подарки;393,49 руб.;4.8;не известно;https://aliexpress.ru/item/1005002963476668.html?sku_id=12000022985283338
Bearbrick медведь @ кирпич экшн-фигурки блочный Медведь ПВХ Модель Фигурки DIY брелок крашеные куклы игрушки;189,56 руб.;4.8;Shop5049380 Store;https://aliexpress.ru/item/1005003327677428.html?sku_id=12000025232696692
Marvel Мстители 6 см Дерево человек Грут стражи Галактики аниме мини милые игрушки фигурка сидящий Грут детские игрушки подарки;117,69 руб.;4.8;не известно;https://aliexpress.ru/item/1005002947326349.html?sku_id=12000022913184828
Домашний декор, Сфинкс, кошка, медитация, коллекционные фигурки, миниатюрная статуэтка кошки Будды, модель животного, кукла, игрушки, безволосая фигурка кошки;420,44 руб.;4.6;не известно;https://aliexpress.ru/item/1005003391379694.html?sku_id=12000025564443662
Японская мультяшная Слитная статуя Bandai 13-18 см ророноа Зоро, аниме фигурки, модель, ПВХ фигурки, игрушки, куклы, подарок для детей;1 428,41 руб.;0;Toyssxblo Store;https://aliexpress.ru/item/1005003923992914.html?sku_id=12000027481719220
Миниатюрная экшн-фигурка Кодама из мультфильма «дерево»;462,10 руб.;4.7;Minivo Store;https://aliexpress.ru/item/1005002283068608.html?sku_id=12000019905247813
Фигурка из смолы Луна(Loona) | фигурка для покраски из смолы;1 460,00 руб.;4.9;ResinModelsRussia Store;https://aliexpress.ru/item/1005003425577810.html?sku_id=12000025730424667
Веном Фелиция Харди черная кошка удивительный Хамелеон шокер гидро человек Майкл морбиус вампир строительные блоки мини Экшн-Фигурки игрушки;91,63 руб.;3.4;UU MiniFigure Store;https://aliexpress.ru/item/1005003575065777.html?sku_id=12000026342593933
2021 японская оригинальная аниме-фигурка PROMARE ARTFX J PROMARE, экшн-фигурка, Коллекционная модель, игрушки для мальчиков;3 238,63 руб.;4.9;Doll Dream (min order$10);https://aliexpress.ru/item/1005003278536574.html?sku_id=12000024993660872
Фигурка персонажа аниме «уличный истребитель», 23 см;2 019,54 руб.;7;BAOFATOY Store;https://aliexpress.ru/item/1005003927848095.html?sku_id=12000027490194699
Экшн-фигурка хатакэ Какаси 19Q из аниме «Наруто», модель из ПВХ, 7 см, статуя удзумаки Наруто, коллекционная игрушка;141,94 руб.;4.5;Lele 2 Store Store;https://aliexpress.ru/item/1005003444133644.html
Фигурка пеннивайза Стивена Кинга NECA, ПВХ, Коллекционная модель игрушки;972,04 руб.;4.7;не известно;https://aliexpress.ru/item/32998134311.html
Лего Супергерои Мини фигурки блоки паук Доктор Странный Зеленый Гоблин загар кубики строительные блоки Сборная модель игрушка;70,97 руб.;11;SHAOBINGTOY Store;https://aliexpress.ru/item/1005003888489873.html
